,AI_overkill,AI_total,OP,_id,barcode,create_time,el_no
0,1,3,0,5c69028f0d506905ca2351c6,255,1550073620.0,131
1,1,3,1,5c664b6b7e6d3f0015480468,234,1550073600.0,131
2,1,3,1,5c664d887e6d3f0011250f12,23345,1550073645.0,131
3,1,3,2,5c664e797e6d3f0011250f18,2334555,1550073620.0,131
4,1,3,1,5c664d817e6d3f0011250f10,23342345,1550073600.23232,131
5,0,0,2,5c66600f7e6d3f0106c15adb,255,1550074600.0,131
6,0,0,3,5c6905ae0d506905ca23595f,25115,1550073620.0,131
7,0,0,0,5c676773d2d9ae00110c5fe0,504947,1550280574.14466,Line2
8,0,0,0,5c69055e0d506905ca235885,25,1550073620.0,131
9,0,0,0,5c665f617e6d3f0106c15ad6,24555,1550073788.0,131
